Theta_deg,Volume_m3,Pressure_Pa,Turbulence_k,BurnFraction_xb,EndGas_Temperature_K,EndGas_Pressure_Pa,KnockIntegral_KI,KnockDetected,KnockTheta_deg
-180,0.0005429969719760079,100000.0,0.05,0.0,300.0,100000.0,0.0,False,
-179,0.0005429703680425871,100006.61465527106,0.042882374565847724,0.0,300.00514460584293,100006.61465527106,1.6943521815865688e-28,False,
-178,0.0005428905548387805,100026.46354074558,2.8148658756891627,0.0,300.02058073684316,100026.46354074558,3.39432611141549e-28,False,
-177,0.0005427575281620423,100059.56142210714,5.362755391762299,0.0,300.0463153347409,100059.56142210714,5.103712679011185e-28,False,
-176,0.0005425712810350886,100105.93293117353,5.786185132629939,0.0,300.082359973525,100105.93293117353,6.826367896829396e-28,False,
-175,0.000542331803746347,100165.6125994652,8.027560952641085,0.0,300.1287308660684,100165.6125994652,8.56624003265718e-28,False,
-174,0.0005420390839066119,100238.64490530008,7.419262367682656,0.0,300.18544887342233,100238.64490530008,1.0327397847515578e-27,False,
-173,0.0005416931065219274,100325.0843345165,11.190145504221029,0.0,300.2525395167756,100325.0843345165,1.211406028731073e-27,False,
-172,0.0005412938540827318,100424.99545495238,6.755722705049471,0.0,300.3300329920837,100424.99545495238,1.3930628001775994e-27,False,
-171,0.0005408413066692953,100538.45300484104,17.727198610185745,0.0,300.41796418737846,100538.45300484104,1.5781717096322452e-27,False,
-170,0.0005403354420734969,100665.54199531175,0.0,0.0,300.51637270276495,100665.54199531175,1.7672195562007217e-27,False,
-169,0.0005397762359369844,100806.35782721608,27.636965834591617,0.0,300.6253028731199,100806.35782721608,1.9607222876869363e-27,False,
-168,0.0005391636619057696,100961.00642253038,0.0,0.0,300.74480379350206,100961.00642253038,2.1592293329507303e-27,False,
-167,0.000538497691801311,101129.60437061898,33.09017332024022,0.0,300.87492934729084,101129.60437061898,2.3633283684363414e-27,False,
-166,0.0005377782958081415,101312.27908967395,0.0,0.0,301.0157382370687,101312.27908967395,2.573650588941044e-27,False,
-165,0.000537005442678096,101509.16900368381,38.50306552684856,0.0,301.16729401826626,101509.16900368381,2.7908765622805463e-27,False,
-164,0.0005361790999511994,101720.42373531607,0.0,0.0,301.3296651355888,101720.42373531607,3.015742758799604e-27,False,
