Scenario,CompressionRatio,SOC_deg,TurbulenceFactor,WorkBoundary_deg,WorkPerCycle,PeakPressure_bar,WarningState,Icon
60,12.5,-12.67,1.6,0,819.8199468745372,47.140174150947026,OK,🟢
61,12.5,-15.0,0.8,0,716.0316336078943,46.0767729396794,OK,🟢
62,12.5,-15.0,1.07,0,762.5109466489446,48.036795378912224,OK,🟢
63,12.5,-15.0,1.33,0,808.9902596899948,50.02696049303823,OK,🟢
64,12.5,-15.0,1.6,0,855.4695727310451,52.02539000968453,OK,🟢
65,13.0,-8.0,0.8,0,632.3013732316372,35.185575237060505,OK,🟢
66,13.0,-8.0,1.07,0,673.3860615752936,36.62739346126144,OK,🟢
67,13.0,-8.0,1.33,0,714.4707499189501,38.096887396527265,OK,🟢
68,13.0,-8.0,1.6,0,755.5554382626068,39.590397532186735,OK,🟢
69,13.0,-10.33,0.8,0,663.2467156535068,38.94383448495354,OK,🟢
70,13.0,-10.33,1.07,0,706.3278777018002,40.53887799642633,OK,🟢
71,13.0,-10.33,1.33,0,749.4090397500935,42.16984704299416,OK,🟢
72,13.0,-10.33,1.6,0,792.4902017983868,43.81837939726947,OK,🟢
73,13.0,-12.67,0.8,0,694.1935760303129,43.07799503754681,OK,🟢
74,13.0,-12.67,1.07,0,739.2713097158196,44.85584966906428,OK,🟢
75,13.0,-12.67,1.33,0,784.3490434013261,46.672054495915944,OK,🟢
76,13.0,-12.67,1.6,0,829.4267770868329,48.49576722268122,OK,🟢
77,13.0,-15.0,0.8,0,724.8720937886098,47.589146081756,OK,🟢
78,13.0,-15.0,1.07,0,771.9290866843289,49.58255549711983,OK,🟢
79,13.0,-15.0,1.33,0,818.9860795800485,51.6056488488367,OK,🟢
80,13.0,-15.0,1.6,0,866.0430724757676,53.638579822805376,OK,🟢
